+----------------------+------------+----------------------+
| Token                | Type       | Line                 |
| IDENTIFIER           | 84         | roll                 |
| PUNCTUATION          | 84         | ;                    |
| IDENTIFIER           | 85         | user                 |
| PUNCTUATION          | 85         | .                    |
| IDENTIFIER           | 85         | setRollNumber        |
| PUNCTUATION          | 85         | (                    |
| IDENTIFIER           | 85         | roll                 |
| PUNCTUATION          | 85         | )                    |
| PUNCTUATION          | 85         | ;                    |
| IDENTIFIER           | 86         | user                 |
| PUNCTUATION          | 86         | .                    |
| IDENTIFIER           | 86         | showDetails          |
| PUNCTUATION          | 86         | (                    |
| PUNCTUATION          | 86         | )                    |
| PUNCTUATION          | 86         | ;                    |
| KEYWORD              | 89         | cout                 |
| OPERATOR             | 89         | <<                   |
| LITERAL_STRING       | 89         | "Enter two integers to add: " |
| PUNCTUATION          | 89         | ;                    |
| KEYWORD              | 90         | cin                  |
| OPERATOR             | 90         | >>                   |
| IDENTIFIER           | 90         | num1                 |
| OPERATOR             | 90         | >>                   |
| IDENTIFIER           | 90         | num2                 |
| PUNCTUATION          | 90         | ;                    |
| KEYWORD              | 91         | int                  |
| IDENTIFIER           | 91         | result               |
| OPERATOR             | 91         | =                    |
| IDENTIFIER           | 91         | add                  |
| PUNCTUATION          | 91         | (                    |
| IDENTIFIER           | 91         | num1                 |
| PUNCTUATION          | 91         | ,                    |
| IDENTIFIER           | 91         | num2                 |
| PUNCTUATION          | 91         | )                    |
| PUNCTUATION          | 91         | ;                    |
| KEYWORD              | 92         | cout                 |
| OPERATOR             | 92         | <<                   |
| LITERAL_STRING       | 92         | "Sum = "             |
| OPERATOR             | 92         | <<                   |
| IDENTIFIER           | 92         | result               |
| OPERATOR             | 92         | <<                   |
| KEYWORD              | 92         | endl                 |
| PUNCTUATION          | 92         | ;                    |
| KEYWORD              | 95         | int                  |
| IDENTIFIER           | 95         | n                    |
| PUNCTUATION          | 95         | ;                    |
| KEYWORD              | 96         | cout                 |
| OPERATOR             | 96         | <<                   |
| LITERAL_STRING       | 96         | "Enter a number to calculate its factorial: " |
| PUNCTUATION          | 96         | ;                    |
| KEYWORD              | 97         | cin                  |
| OPERATOR             | 97         | >>                   |
| IDENTIFIER           | 97         | n                    |
| PUNCTUATION          | 97         | ;                    |
| KEYWORD              | 98         | cout                 |
| OPERATOR             | 98         | <<                   |
| LITERAL_STRING       | 98         | "Factorial of "      |
| OPERATOR             | 98         | <<                   |
| IDENTIFIER           | 98         | n                    |
| OPERATOR             | 98         | <<                   |
| LITERAL_STRING       | 98         | " is "               |
| OPERATOR             | 98         | <<                   |
| IDENTIFIER           | 98         | factorial            |
| PUNCTUATION          | 98         | (                    |
| IDENTIFIER           | 98         | n                    |
| PUNCTUATION          | 98         | )                    |
| OPERATOR             | 98         | <<                   |
| KEYWORD              | 98         | endl                 |
| PUNCTUATION          | 98         | ;                    |
| KEYWORD              | 101        | int                  |
| IDENTIFIER           | 101        | numbers              |
| PUNCTUATION          | 101        | [                    |
| LITERAL_NUMBER       | 101        | 5                    |
| PUNCTUATION          | 101        | ]                    |
| PUNCTUATION          | 101        | ;                    |
| KEYWORD              | 102        | cout                 |
| OPERATOR             | 102        | <<                   |
| LITERAL_STRING       | 102        | "Enter 5 numbers: "  |
| PUNCTUATION          | 102        | ;                    |
| KEYWORD              | 103        | for                  |
| PUNCTUATION          | 103        | (                    |
| KEYWORD              | 103        | int                  |
| IDENTIFIER           | 103        | i                    |
| OPERATOR             | 103        | =                    |
| LITERAL_NUMBER       | 103        | 0                    |
| PUNCTUATION          | 103        | ;                    |
| IDENTIFIER           | 103        | i                    |
| PUNCTUATION          | 103        | <                    |
| LITERAL_NUMBER       | 103        | 5                    |
| PUNCTUATION          | 103        | ;                    |
| IDENTIFIER           | 103        | i                    |
| OPERATOR             | 103        | ++                   |
| PUNCTUATION          | 103        | )                    |
| PUNCTUATION          | 103        | {                    |
| KEYWORD              | 104        | cin                  |
| OPERATOR             | 104        | >>                   |
| IDENTIFIER           | 104        | numbers              |
| PUNCTUATION          | 104        | [                    |
| IDENTIFIER           | 104        | i                    |
| PUNCTUATION          | 104        | ]                    |
| PUNCTUATION          | 104        | ;                    |
| PUNCTUATION          | 105        | }                    |
| KEYWORD              | 108        | try                  |
| PUNCTUATION          | 108        | {                    |
| KEYWORD              | 109        | cout                 |
| OPERATOR             | 109        | <<                   |
| LITERAL_STRING       | 109        | "Trying risky operation..." |
| OPERATOR             | 109        | <<                   |
| KEYWORD              | 109        | endl                 |
| PUNCTUATION          | 109        | ;                    |
| KEYWORD              | 110        | throw                |
| LITERAL_NUMBER       | 110        | 5                    |
| PUNCTUATION          | 110        | ;                    |
| PUNCTUATION          | 111        | }                    |
| KEYWORD              | 111        | catch                |
| PUNCTUATION          | 111        | (                    |
| KEYWORD              | 111        | int                  |
| IDENTIFIER           | 111        | e                    |
| PUNCTUATION          | 111        | )                    |
| PUNCTUATION          | 111        | {                    |
| KEYWORD              | 112        | cout                 |
| OPERATOR             | 112        | <<                   |
| LITERAL_STRING       | 112        | "Caught exception: " |
| OPERATOR             | 112        | <<                   |
| IDENTIFIER           | 112        | e                    |
| OPERATOR             | 112        | <<                   |
| KEYWORD              | 112        | endl                 |
| PUNCTUATION          | 112        | ;                    |
| PUNCTUATION          | 113        | }                    |
| KEYWORD              | 116        | cout                 |
| OPERATOR             | 116        | <<                   |
| LITERAL_STRING       | 116        | "You entered: "      |
| PUNCTUATION          | 116        | ;                    |
| KEYWORD              | 117        | for                  |
| PUNCTUATION          | 117        | (                    |
| KEYWORD              | 117        | int                  |
| IDENTIFIER           | 117        | i                    |
| OPERATOR             | 117        | =                    |
| LITERAL_NUMBER       | 117        | 0                    |
| PUNCTUATION          | 117        | ;                    |
| IDENTIFIER           | 117        | i                    |
| PUNCTUATION          | 117        | <                    |
| LITERAL_NUMBER       | 117        | 5                    |
| PUNCTUATION          | 117        | ;                    |
| IDENTIFIER           | 117        | i                    |
| OPERATOR             | 117        | ++                   |
| PUNCTUATION          | 117        | )                    |
| PUNCTUATION          | 117        | {                    |
| KEYWORD              | 118        | cout                 |
| OPERATOR             | 118        | <<                   |
| IDENTIFIER           | 118        | numbers              |
| PUNCTUATION          | 118        | [                    |
| IDENTIFIER           | 118        | i                    |
| PUNCTUATION          | 118        | ]                    |
| OPERATOR             | 118        | <<                   |
| LITERAL_STRING       | 118        | " "                  |
| PUNCTUATION          | 118        | ;                    |
| PUNCTUATION          | 119        | }                    |
| KEYWORD              | 120        | cout                 |
| OPERATOR             | 120        | <<                   |
| KEYWORD              | 120        | endl                 |
